Site,Long,Lat,Crs,City
ANGC,-84.35474305,34.13116159,4326,atga
BCC,-84.39469532,34.08053911,4326,atga
BFES,-84.34105252,34.14321638,4326,atga
BHNP,-84.37607044,33.86368318,4326,atga
CAMP,-84.38679753,33.94739467,4326,atga
CC,-84.35764988,33.76592183,4326,atga
CCB,-84.35375019,33.86870509,4326,atga
CCCrab,-84.36902979,34.12317477,4326,atga
CLEV,-84.38517778,33.93068168,4326,atga
CMAC,-84.34388696,34.09387489,4326,atga
CN,-84.40084879,34.0947334,4326,atga
CNC,-84.38472111,34.00423774,4326,atga
CP,-84.36267286,34.03775433,4326,atga
CTCC,-84.36694439,33.98222145,4326,atga
DHGC,-84.32583959,33.78705369,4326,atga
GB,-84.3820041,33.99083716,4326,atga
GP,-84.36903689,33.73100432,4326,atga
HF,-84.39487387,33.96244146,4326,atga
HMS,-84.39510147,34.01347354,4326,atga
HTP,-84.34072524,33.80008747,4326,atga
JAN,-84.37840834,33.89853278,4326,atga
JT,-84.37756084,33.82837403,4326,atga
KR,-84.38080165,34.08276783,4326,atga
LA,-84.40866039,34.06812295,4326,atga
MF,-84.34775417,33.83684175,4326,atga
MNP,-84.35484467,33.80553008,4326,atga
MVD,-84.38546775,33.88155344,4326,atga
NF,-84.34190162,34.16973911,4326,atga
PP,-84.37197347,33.78750466,4326,atga
RZ,-84.38281914,34.13861518,4326,atga
SGB,-84.36960937,34.04772969,4326,atga
SP,-84.35704757,33.75671304,4326,atga
TES,-84.42236232,34.01846583,4326,atga
TV,-84.35982088,33.88389118,4326,atga
VHTC,-84.36499059,34.15968965,4326,atga
WN,-84.36004246,34.1061234,4326,atga
AUTX-C01-EML,-97.83463,30.34375,4326,autx
AUTX-C01-WBP,-97.818565,30.313086,4326,autx
AUTX-C02-BOG,-97.71228079,30.27003865,4326,autx
AUTX-C02-PEA,-97.753562,30.284234,4326,autx
AUTX-C02-RBI,-97.786779,30.290917,4326,autx
AUTX-C02-ROY,-97.70617,30.24436,4326,autx
AUTX-C02-ZIL,-97.77658,30.27233,4326,autx
AUTX-C03-HOR,-97.65006,30.2151,4326,autx
AUTX-C03-MON,-97.69046152,30.23157648,4326,autx
AUTX-C03-ONI,-97.61216,30.19906,4326,autx
AUTX-H02-BLU,-97.74772665,30.23286229,4326,autx
AUTX-WL1-DEL,-97.74114993,30.25940001,4326,autx
AUTX-WL4-UTA,-97.73443654,30.28360757,4326,autx
AUTX-WL8-WRI,-97.72569585,30.3139306,4326,autx
AUTX-WL9-REI,-97.71859894,30.32703493,4326,autx
AUTX_BCG,-97.78541,30.25653,4326,autx
AUTX_BRDP,-97.67275128,30.2573506,4326,autx
AUTX_BRP,-97.843566,30.16604989,4326,autx
AUTX_CF,-97.89155907,30.33687685,4326,autx
AUTX_CRWS,-97.69490053,30.24723862,4326,autx
AUTX_DNP,-97.75131369,30.27323129,4326,autx
AUTX_EW/FG,-97.72793,30.24981,4326,autx
AUTX_GVP,-97.6890404,30.26040133,4326,autx
AUTX_MFBCP,-97.76457978,30.28174999,4326,autx
AUTX_SONP,-97.86524346,30.16019342,4326,autx
AUTX_TNP,-97.76015,30.29651,4326,autx
AUTX_WBCG,-97.75843161,30.25640687,4326,autx
C04-MBP1,-87.57339472,41.71308499,4326,chil
C05-BEA1,-87.58721191,41.65419878,4326,chil
C05-BMP1,-87.57510693,41.69479206,4326,chil
C05-BMP2,-87.56486107,41.6857457,4326,chil
C05-EGG1,-87.52634943,41.68809924,4326,chil
C06-BEA2,-87.58174014,41.64524646,4326,chil
C06-HMP1,-87.56991671,41.65680784,4326,chil
D02-BMT1,-87.66977928,41.91433602,4326,chil
D02-HUP0,-87.69904915,41.90585734,4326,chil
D02-JBS1,-87.6399905,41.94889355,4326,chil
D02-MDU1,-87.6330656,41.96478369,4326,chil
D02-MOP1,-87.72430748,41.91858492,4326,chil
D02-RCP1,-87.69329358,41.94109499,4326,chil
D02-SCP1,-87.68589743,41.92296839,4326,chil
D03-AFP1,-87.71652991,41.94666256,4326,chil
D03-AMP1,-87.7482015,41.96850882,4326,chil
D03-CHP1,-87.76234923,41.94245857,4326,chil
D03-GOM1,-87.73063446,41.97527786,4326,chil
D03-HOR1,-87.69473925,41.95758198,4326,chil
D03-NPV1,-87.72834195,41.98593826,4326,chil
D03-STB1,-87.66563918,41.96962066,4326,chil
D04-DNP1,-87.78423327,41.96512952,4326,chil
D04-EDW0,-87.7646423,41.99098007,4326,chil
D04-FGP1,-87.75452049,41.97728945,4326,chil
D04-RDP1,-87.78559613,41.98961368,4326,chil
D04-ROS0,-87.68932042,41.98771934,4326,chil
D05-BRP1,-87.80710669,42.00945005,4326,chil
D05-MHC1,-87.83246718,42.03538336,4326,chil
D05-MIA1,-87.79567324,42.02421505,4326,chil
D05-PRC1,-87.8318759,42.02154012,4326,chil
D06-KCG1,-87.85328609,42.07983052,4326,chil
D07-ASC0,-87.88662949,42.05985363,4326,chil
D07-NOC1,-87.87945486,42.09431792,4326,chil
D07-PLN1,-87.90281775,42.1062726,4326,chil
D08-BOR1,-87.88226617,42.13921563,4326,chil
D08-CCC1,-87.92248236,42.15870422,4326,chil
D08-DAW0,-87.89377889,42.12577912,4326,chil
D08-DAW2,-87.90145123,42.13530185,4326,chil
D09-BON0,-87.95057517,42.18806948,4326,chil
D09-CLG0,-87.9176414,42.18765769,4326,chil
D09-RYW1,-87.90419482,42.1775919,4326,chil
D09-VTC1,-87.9292671,42.20377534,4326,chil
D10-CAN0,-87.93847762,42.24007189,4326,chil
D10-MAC1,-87.92753011,42.25476444,4326,chil
D10-VHC1,-87.94735573,42.22265299,4326,chil
J01-BBS1,-87.61051042,41.84834938,4326,chil
J01-CLP1,-87.65219937,41.91328435,4326,chil
J01-LMP1,-87.61053666,41.83717173,4326,chil
J01-NOR1,-87.60790591,41.86080165,4326,chil
J01-SEP1,-87.63898576,41.90142019,4326,chil
J01-SKP1,-87.66100717,41.87989095,4326,chil
J01-UIC1,-87.6460853,41.86897406,4326,chil
R02-ALT1,-87.69164804,41.87473874,4326,chil
R02-DPG1,-87.69969807,41.86036917,4326,chil
R02-FRP1,-87.73276152,41.86167611,4326,chil
R02-GFP1,-87.71452825,41.88405579,4326,chil
R03-AUP1,-87.76897765,41.88766256,4326,chil
R03-CPG1,-87.7721358,41.87566237,4326,chil
R03-EUC1,-87.79182537,41.86573343,4326,chil
R03-MAP1,-87.80378089,41.86786605,4326,chil
R04-MMW0,-87.83207106,41.85280337,4326,chil
R04-MMW3,-87.82763197,41.86356253,4326,chil
R04-SCH1,-87.8484205,41.85567851,4326,chil
R05-FMG1,-87.91280438,41.84824061,4326,chil
R05-GOC1,-87.88292622,41.85757554,4326,chil
R05-MTC1,-87.91060758,41.86915824,4326,chil
R05-STP1,-87.86937113,41.88326265,4326,chil
R06-OTB1,-87.97779673,41.85248376,4326,chil
R06-SLT2,-87.95678027,41.87464622,4326,chil
R06-YOW1,-87.93312143,41.85870532,4326,chil
R07-FSP1,-88.02228432,41.85090748,4326,chil
R07-GOF1,-88.04194649,41.8658981,4326,chil
R07-MMP1,-88.00296221,41.87405852,4326,chil
R07-YHR1,-87.98972335,41.86578813,4326,chil
R08-DAP1,-88.07916556,41.87515101,4326,chil
R08-PAP1,-88.05904063,41.8561811,4326,chil
R08-VLG1,-88.07091278,41.8521756,4326,chil
R08-WBK1,-88.06135623,41.84175796,4326,chil
R09-BLW1,-88.14724262,41.86309312,4326,chil
R09-CTG0,-88.16212923,41.85014493,4326,chil
R09-LIM0,-88.12305588,41.87106444,4326,chil
R09-SMI1,-88.11233994,41.85279958,4326,chil
R10-FRM1,-88.2632106,41.81899974,4326,chil
R10-FRM2,-88.25455583,41.83329816,4326,chil
R10-WCP0,-88.2299927,41.88948618,4326,chil
R10-WDW0,-88.19222479,41.86593136,4326,chil
S02-BNS1,-87.59306926,41.81198992,4326,chil
S02-BRI1,-87.69796061,41.829108,4326,chil
S02-CPR1,-87.67124706,41.84261538,4326,chil
S02-MCP1,-87.67616828,41.82610396,4326,chil
S02-PIP1,-87.73000452,41.83325462,4326,chil
S02-PLP1,-87.64874972,41.84407767,4326,chil
S02-TNW1,-87.60065692,41.82389815,4326,chil
S03-ARP1,-87.73406,41.80557318,4326,chil
S03-JKP2,-87.58010698,41.78574236,4326,chil
S03-LCP1,-87.75085536,41.81401666,4326,chil
S03-PSP1,-87.73172978,41.7880381,4326,chil
S03-VIP1,-87.7478189,41.80241759,4326,chil
S03-WAP1,-87.71888828,41.81169474,4326,chil
S04-HAP1,-87.77935426,41.7803347,4326,chil
S04-OTW1,-87.80373503,41.81511794,4326,chil
S04-SSP1,-87.79732651,41.79931501,4326,chil
S04-VFP1,-87.79559635,41.78399726,4326,chil
S04-WEP1,-87.78093794,41.78887151,4326,chil
S05-LNC1,-87.84473133,41.74274601,4326,chil
S05-RES1,-87.82363466,41.76135893,4326,chil
S05-SFP0,-87.85898612,41.75885485,4326,chil
S06-CBW0,-87.89252291,41.72879771,4326,chil
S07-ARG1,-87.97052731,41.71888815,4326,chil
S07-ARG2,-87.98063145,41.70899378,4326,chil
S07-STJ1,-87.93211936,41.69819734,4326,chil
S08-WGL1,-87.99914707,41.69378812,4326,chil
S09-KTP1,-88.03380771,41.6782417,4326,chil
S09-SMC1,-88.01264245,41.65701595,4326,chil
S09-VTW0,-88.05987667,41.67081215,4326,chil
S10-ILC1,-88.06930047,41.63776364,4326,chil
S10-LEW1,-88.07710241,41.5993927,4326,chil
S10-LPC1,-88.04816511,41.5915763,4326,chil
S10-LPP0,-88.07212554,41.58289314,4326,chil
E01-CHE1,-104.9682201,39.73452005,4326,deco
E01-CON1,-104.9551402,39.7292898,4326,deco
E01-CPE1,-104.9412496,39.75075042,4326,deco
E01-CPW1,-104.9590396,39.74580966,4326,deco
E01-SGP1,-104.99273,39.73061013,4326,deco
E02-FTP1,-104.8994904,39.75219044,4326,deco
E02-LIN1,-104.9317404,39.73360962,4326,deco
E02-MCN1,-104.8991196,39.74395029,4326,deco
E02-MON1,-104.9087401,39.73452998,4326,deco
E02-VER1,-104.89079,39.73474964,4326,deco
E03-CWP1,-104.8265496,39.75431997,4326,deco
E03-DMP1,-104.8481194,39.72309019,4326,deco
E03-GEN1,-104.8461294,39.74223968,4326,deco
E03-SAC1,-104.8403695,39.75645989,4326,deco
E03-SPG1,-104.8595303,39.74347034,4326,deco
E04-APM1,-104.7983003,39.72698964,4326,deco
E04-SCR1,-104.7720495,39.73501962,4326,deco
E04-SKE1,-104.7948,39.74422003,4326,deco
E04-SKW1,-104.8025604,39.7528301,4326,deco
E04-TER1,-104.7684602,39.74813045,4326,deco
W01-BAR1,-105.0274002,39.72290969,4326,deco
W01-GCP1,-105.0162803,39.74689968,4326,deco
W01-LIP1,-105.0044896,39.73665973,4326,deco
W01-MAR1,-105.0412198,39.7305697,4326,deco
W01-SLP1,-105.0403001,39.74427005,4326,deco
W02-CHP1,-105.0980801,39.75691025,4326,deco
W02-HOL1,-105.0975701,39.72888985,4326,deco
W02-MOR1,-105.0870497,39.74593022,4326,deco
W02-SUN1,-105.1150199,39.73368984,4326,deco
W02-WBP1,-105.0608403,39.74338982,4326,deco
W03-CPP1,-105.1397097,39.75611976,4326,deco
W03-DAN1,-105.1415196,39.73695019,4326,deco
W03-GRA1,-105.1263797,39.75172996,4326,deco
W03-MGP1,-105.1634399,39.76001,4326,deco
W04-APE1,-105.2191996,39.71931995,4326,deco
W04-PVP1,-105.1724403,39.73688044,4326,deco
W04-STM1,-105.1838097,39.74349,4326,deco
W04-WES1,-105.1854795,39.72981976,4326,deco
W04-WSP1,-105.24217,39.7531896,4326,deco
BEHAC02BRO1,-113.5650362,53.4984277,4326,edal
BEHAD02HUS1,-113.6029486,53.59854422,4326,edal
EDALA01RVH1,-113.4399753,53.55652198,4326,edal
EDALA01TEH1,-113.438152,53.54582395,4326,edal
EDALA01VIP1,-113.4593665,53.56230144,4326,edal
EDALA02ABB1,-113.3775803,53.56964713,4326,edal
EDALA02BEL1,-113.4348577,53.59280591,4326,edal
EDALA02CAR1,-113.3799348,53.58493866,4326,edal
EDALA02KER1,-113.3949914,53.58880981,4326,edal
EDALA02RVR1,-113.4040731,53.55740222,4326,edal
EDALA03BAN1,-113.3632545,53.60904109,4326,edal
EDALA03MAT1,-113.3431509,53.63366656,4326,edal
EDALA03STC1,-113.337718,53.60763686,4326,edal
EDALA04HOH2,-113.3355645,53.6721151,4326,edal
EDALA04SST2,-113.2908584,53.66995821,4326,edal
EDALB01CLO1,-113.4790787,53.53836467,4326,edal
EDALB01MUT2,-113.4765488,53.52941705,4326,edal
EDALB01ROS1,-113.4910999,53.52974399,4326,edal
EDALB02DAI1,-113.4467571,53.50187075,4326,edal
EDALB02KIG1,-113.4141325,53.47628966,4326,edal
EDALB02MIG1,-113.4278629,53.48606335,4326,edal
EDALB02PYI1,-113.4036093,53.49941095,4326,edal
EDALB02ROR1,-113.4335538,53.49567587,4326,edal
EDALB02SIB1,-113.3906498,53.46435441,4326,edal
EDALB03TAM1,-113.3588577,53.45818942,4326,edal
EDALC01BEL1,-113.5299639,53.51491924,4326,edal
EDALC01HAW1,-113.5483456,53.5245988,4326,edal
EDALC01MAR3,-113.5579158,53.53542659,4326,edal
EDALC01PAR1,-113.5182979,53.50237122,4326,edal
EDALC01RVM1,-113.5407436,53.53623347,4326,edal
EDALC01RVV1,-113.5246808,53.53286951,4326,edal
EDALC01UNF1,-113.5427322,53.49689048,4326,edal
EDALC02CAL1,-113.6199368,53.50692,4326,edal
EDALC02RVA1,-113.5546569,53.48230394,4326,edal
EDALC02RVO1,-113.5924362,53.48558998,4326,edal
EDALC03EDG1,-113.6673449,53.46614631,4326,edal
EDALC03LEG1,-113.5843718,53.4613082,4326,edal
EDALC03RVC1,-113.6085838,53.47040256,4326,edal
EDALC03RVT1,-113.6132946,53.48648414,4326,edal
EDALC03WEO1,-113.6445147,53.48041108,4326,edal
EDALC04BIG1,-113.6653547,53.4281384,4326,edal
EDALC04RIA3,-113.686185,53.41396816,4326,edal
EDALD01AIR1,-113.5090346,53.57833445,4326,edal
EDALD01PRC1,-113.5368342,53.57432223,4326,edal
EDALD01QUM1,-113.5276938,53.55253246,4326,edal
EDALD02DOV1,-113.5600454,53.5759494,4326,edal
EDALD02RAI1,-113.5768974,53.60735334,4326,edal
EDALD02WEL1,-113.555709,53.59370985,4326,edal
EDALD02WOO1,-113.5636673,53.56216019,4326,edal
EDALD03GOC1,-113.5532441,53.64127166,4326,edal
AR1,-105.001299,40.546894,4326,foco
Arapaho1,-105.000071,40.530147,4326,foco
BW,-105.136304,40.619939,4326,foco
CC1,-105.032559,40.568998,4326,foco
CL,-105.15067,40.58335,4326,foco
CLPMS,-105.14556,40.6259,4326,foco
ELC2,-105.01656,40.558145,4326,foco
ERP,-105.02827,40.53343,4326,foco
FCCO,-105.10017,40.5853,4326,foco
FCR,-104.99891,40.49838,4326,foco
GMP,-105.04412,40.52725,4326,foco
HG,-105.00002,40.51598,4326,foco
HP,-105.02533,40.51722,4326,foco
LM1,-105.079221,40.597578,4326,foco
LP,-105.08599,40.56271,4326,foco
McMurry1,-105.093282,40.603108,4326,foco
MD,-105.01163,40.50873,4326,foco
NixFarm,-105.045453,40.576777,4326,foco
NMC,-105.08219,40.54255,4326,foco
NSP,-105.102891,40.610595,4326,foco
OP,-105.12858,40.57147,4326,foco
PT,-105.04355,40.54889,4326,foco
RFM,-105.11033,40.56513,4326,foco
RNA,-105.10356,40.55483,4326,foco
RR,-105.15463,40.61096,4326,foco
Springer1,-105.059729,40.580617,4326,foco
Udall1,-105.06832,40.587495,4326,foco
WL1,-105.167945,40.635131,4326,foco
WP,-105.05782,40.53551,4326,foco
A01-RES1,-91.64490111,41.80741903,4326,icia
A01-WMA1,-91.65174984,41.7988532,4326,icia
A01-WMA2,-91.69326867,41.81164522,4326,icia
A01-WMA3,-91.67442613,41.81405925,4326,icia
A02-FUH1,-91.64792741,41.76023245,4326,icia
A02-MET1,-91.60995524,41.77062335,4326,icia
A02-RES2,-91.63778085,41.79291508,4326,icia
A02-WMA4,-91.65983228,41.77545826,4326,icia
A03-CNA1,-91.5913787,41.7447909,4326,icia
A03-JOY1,-91.60218162,41.73687981,4326,icia
A03-YSC1,-91.59664782,41.72262667,4326,icia
A04-AUB1,-91.57727491,41.71304836,4326,icia
A04-DOV1,-91.55577808,41.70787146,4326,icia
A04-PEN1,-91.55985277,41.67447127,4326,icia
A04-WAT1,-91.55086992,41.68825588,4326,icia
A05-BEN1,-91.54837917,41.64991832,4326,icia
A05-CRE1,-91.5078094,41.65115504,4326,icia
A05-SAN1,-91.54614971,41.66575122,4326,icia
A05-SHI1,-91.52935225,41.68022763,4326,icia
A06-SHP1,-91.52510631,41.63096875,4326,icia
A06-SYC1,-91.50345434,41.62762651,4326,icia
A06-SYC2,-91.50317826,41.61724697,4326,icia
A06-TTB1,-91.52787525,41.61954747,4326,icia
A07-CBT1,-91.60890962,41.68419956,4326,icia
A07-CCG2,-91.59635693,41.69124338,4326,icia
A07-UIO1,-91.58142928,41.66951568,4326,icia
A08-PET1,-91.50418831,41.74424713,4326,icia
A08-RES3,-91.54411563,41.72507132,4326,icia
A08-RES4,-91.52301518,41.72457682,4326,icia
A08-TCP1,-91.51706121,41.74246857,4326,icia
A09-HRP1,-91.59207443,41.6506691,4326,icia
A09-KEN1,-91.59403025,41.64080346,4326,icia
A09-TOK1,-91.60852939,41.63993512,4326,icia
A09-WCP1,-91.56702402,41.64254149,4326,icia
A10-ACT1,-91.49790002,41.68224361,4326,icia
A10-GIL1,-91.48597295,41.6995152,4326,icia
A10-HHP1,-91.51105313,41.67559664,4326,icia
A10-HPR1,-91.48861703,41.67589818,4326,icia
M01-PRG1,-86.14124818,39.74438565,4326,inin
M01-SAP1,-86.12861121,39.74171912,4326,inin
M02-BCF1,-86.1406152,39.77277956,4326,inin
M02-OBP1,-86.14025599,39.78822898,4326,inin
M02-SBP2,-86.1196739,39.78596904,4326,inin
M03-FCP1,-86.14297399,39.81116224,4326,inin
M03-GWP1,-86.11833247,39.81657456,4326,inin
M03-ISD1,-86.13977524,39.83346329,4326,inin
M04-BAS1,-86.12840246,39.8541236,4326,inin
M04-FRP1,-86.16023337,39.86121671,4326,inin
M04-MAP1,-86.14044844,39.88649208,4326,inin
M05-ISB2,-86.1452568,39.89465895,4326,inin
M05-SDC1,-86.15046029,39.91705043,4326,inin
M05-SGC1,-86.13142726,39.92478303,4326,inin
M06-PGC1,-86.15310019,39.94570989,4326,inin
M06-WGC1,-86.12286343,39.95175491,4326,inin
M07-CAC1,-86.12920428,39.99009919,4326,inin
M07-CCT1,-86.13636599,40.00913966,4326,inin
M07-WFD1,-86.12472999,40.00861989,4326,inin
M08-FTP1,-86.12030817,40.04949527,4326,inin
M08-MMT2,-86.14102174,40.03963027,4326,inin
M08-WGP1,-86.14166967,40.06086787,4326,inin
W01-GFP3,-86.14888904,39.73541028,4326,inin
W01-HCC1,-86.16041277,39.73534463,4326,inin
W01-WRG1,-86.17047327,39.73915613,4326,inin
W02-CRS2,-86.1886109,39.77663173,4326,inin
W02-EMP1,-86.17451719,39.78617841,4326,inin
W02-IZO3,-86.17611137,39.76756792,4326,inin
W03-CHC1,-86.1806723,39.8272713,4326,inin
W03-MEL1,-86.20509791,39.81830337,4326,inin
W03-RGC1,-86.19830874,39.81072615,4326,inin
W04-BHC2,-86.2244592,39.86829968,4326,inin
W04-JSP1,-86.18721393,39.86592194,4326,inin
W04-ROW1,-86.21018319,39.87946655,4326,inin
W04-WPC1,-86.20619485,39.85516768,4326,inin
W05-CPE1,-86.20734291,39.91649911,4326,inin
W05-IHS1,-86.21531571,39.89896982,4326,inin
W06-CNP1,-86.258519,39.94755918,4326,inin
W06-LRF1,-86.24696409,39.9595064,4326,inin
W06-UHS1,-86.21029945,39.95277002,4326,inin
W07-INA1,-86.25558504,39.9860299,4326,inin
W07-UES2,-86.24524842,40.00095335,4326,inin
W07-WAF1,-86.23535231,40.01085586,4326,inin
W08-NST1,-86.24270942,40.03998995,4326,inin
W08-ROS1,-86.28525381,40.04458211,4326,inin
JCA02,-96.84161214,39.03185312,4326,maks
JCA03,-96.85641288,39.03023408,4326,maks
JCA04,-96.8692642,39.02427075,4326,maks
JCA05,-96.88124209,39.03239981,4326,maks
JCA06,-96.8954666,39.02720636,4326,maks
JCA07,-96.91305619,39.02927046,4326,maks
JCA08,-96.92481567,39.02690346,4326,maks
JCA09,-96.93775364,39.02569138,4326,maks
JCA10,-96.95392932,39.02794956,4326,maks
JCB02,-96.82443872,39.03736338,4326,maks
JCB03,-96.83357872,39.04638134,4326,maks
JCB04,-96.82499066,39.05815959,4326,maks
JCB05,-96.82537354,39.06827585,4326,maks
JCB06,-96.82283936,39.0770222,4326,maks
JCB07,-96.82427929,39.08771679,4326,maks
JCB08,-96.82060661,39.09923485,4326,maks
JCB09,-96.82483263,39.1080804,4326,maks
JCB10,-96.81667809,39.11787475,4326,maks
JCC02,-96.82385793,39.01863886,4326,maks
JCC03,-96.80773392,39.02576103,4326,maks
JCC04,-96.79252724,39.02705986,4326,maks
JCC05,-96.77797223,39.02781953,4326,maks
JCC06,-96.76731657,39.02799438,4326,maks
JCC07,-96.74648128,39.04026138,4326,maks
JCC09,-96.71523267,39.03803139,4326,maks
JCC10,-96.70654324,39.04415862,4326,maks
JCD02,-96.83983115,39.0140885,4326,maks
JCD03,-96.85093418,39.01737507,4326,maks
JCD04,-96.85839012,39.00682636,4326,maks
JCD05,-96.86948822,39.00180382,4326,maks
JCD06,-96.88158432,39.00197913,4326,maks
JCD07,-96.88913618,38.99304291,4326,maks
JCD08,-96.87987881,38.98290985,4326,maks
JCD09,-96.89835431,38.97922571,4326,maks
JCD10,-96.90125643,38.97046606,4326,maks
MA01,-96.55428543,39.18439566,4326,maks
MA04,-96.59420902,39.19298443,4326,maks
MA05,-96.60832186,39.19232014,4326,maks
MA06,-96.61817252,39.1975223,4326,maks
MA07,-96.62750953,39.1925685,4326,maks
MA08,-96.63918835,39.1985449,4326,maks
MA09,-96.65661097,39.19760847,4326,maks
MA10,-96.66648381,39.20157271,4326,maks
MB02,-96.56263388,39.19439095,4326,maks
MB03,-96.5750074,39.19314472,4326,maks
MB04,-96.58374582,39.2067414,4326,maks
MB05,-96.59707389,39.20744066,4326,maks
MB06,-96.60546542,39.21437962,4326,maks
MB07,-96.6180047,39.21961906,4326,maks
MB08,-96.62908637,39.2276114,4326,maks
MB09,-96.63577186,39.20823286,4326,maks
MB10,-96.64791717,39.23779566,4326,maks
MC02,-96.54664425,39.19606425,4326,maks
